title,price,brand,quantity,product_code
"Dove Deeply Nourishing and Moisturizing Body Wash For Soft & Smooth Skin, 800 ml",₹520,Dove,800 ml,40242272
"Sensodyne Toothpaste - Fresh Gel, Sensitive For Daily Sensitivity Protection, Combo Pack, 150 g (Pack of 3)",₹720,Sensodyne,150 g,40228312
"Dove Nutri Serum Hair Fall Rescue Nourishing Shampoo, 1 L",₹1149,Dove,1 L,40141852
"Chandrika Ayurvedic Soap Classic for Naturally Radiant Skin, 125 gm (Pack of 6)",₹330,Chandrika,125 gm,40139092
"L'OREAL PARIS Casting Creme Gloss Hair Colour, 87.5 g + 72 ml 300 Darkest Brown",,L'OREAL PARIS,,40118888
"Head & shoulders Anti-Dandruff Shampoo - Smooth & Silky, 2 x 650 ml (Multipack)",₹1630,Head & shoulders,2 x 650 ml,1214180
"Patanjali Dant Kanti - Regular Dental Cream, 3x100 g Multipack",₹180,Patanjali,3x100 g,1206318
"Colgate Visible White Toothpaste - Sparkling Mint, 400 g (4 pcs x 100 g)",₹580,Colgate,400 g,40195548
"Parachute  Advansed Gold Coconut Hair Oil - For Long & Strong Hair, 100% Pure, 2 x 400 ml Multipack",₹470,Parachute,2 x 400 ml,1222087
"L'OREAL PARIS Excellence Creme Hair Colour, 72 ml + 100 g 1 Black",₹679,L'OREAL PARIS,,251259
"L'OREAL PARIS Loreal Paris Total Repair 5 Shampoo with Keratin XS, 1 L",₹1129,L'OREAL PARIS,1 L,40200531
"Close Up Toothpaste  Long lasting 18 Hours Of Fresh Breath & White Teeth, 600 gm (Pack of 4)",₹375,Close Up,600 gm,40016661
"Pears Body Wash Pure & Gentle Body Wash - Original, 500 ml",₹349,Pears Body Wash,500 ml,40208946
"Fiama Fresh Celebration Unique Gel Bar - With Skin Conditioner, Dermatologically Tested, 2x375 g (Multipack)",₹530,Fiama,2x375 g,1223551
"Cinthol Original Deodorant & Complexion Soap, 99.9% Germ Protection, 150 g (Pack of 4)",₹270,Cinthol,150 g,40213349
"Tresemme Keratin Smooth Shampoo, 1 L",₹1120,Tresemme,1 L,40158272
"Sensodyne Fresh Mint Sensitive Toothpaste - For Strong Teeth & Healthy Gums, 2x150 g (Multipack)",,Sensodyne,2x150 g,1216042
"Dettol Germ Protection Wet Wipes - For Skin & Surfaces, 80 pcs",₹219,Dettol,80 pcs,40225703
